10.153081	0.98649	0.438288	0.147417	3
11.2	0.19	0.69	0.42	6
10.033333	0.475	0.65	0.4	6
12.8	0.75	0.61	0.01	6
13.2	0.38	0.57	0.48	6
9.6	0.48	0.49	0.08	5
9.368361	1.00261	0.552998	0.1764	3
9.4	0.46	0.51	0.23	5
13.3	0.41	0.79	0.5	7
10	0.645	0.42	0.36	6
10	0.645	0.6	0.25	6
13.4	0.62	0.69	0.67	8
10.6	0.28	0.67	0.47	7
10.2	0.51	0.63	0.15	6
11.2	0.47	0.8	0.27	5
9.5	0.41	0.55	0.31	6
9.3	0.4	0.6	0.51	6
9.925282	1.331801	0.504915	0.03325	2
11.634955	0.328744	0.80717	0.463601	8
10.1	0.69	0.62	0.32	5
12.2	0.6	0.56	0	6
12.7	0.33	0.77	0.42	7
11.9	0.35	0.6	0.33	6
10.2	0.67	0.56	0.3	6
9.5	0.65	0.55	0.1	5
10.407247	0.82254	0.466579	0.275358	4
9.5	0.66	0.54	0	5
11.63789	0.423131	0.780678	0.302948	8
9.8	0.31	0.51	0.49	6
9.3	0.58	0.43	0.2	5
9.7	0.45	0.57	0.49	5
10.2	0.69	0.6	0.08	6
11.6	0.74	0.56	0.09	6
9.180152	1.181052	0.491884	0.204197	3
8.54565	0.945091	0.405779	0.038005	2
10.8	0.38	0.62	0.55	6
9.7	0.59	0.53	0.02	6
9.4	0.47	0.53	0.3	5
9.7	0.745	0.47	0.18	6
9.5	0.43	0.64	0.49	5
10.6	0.46	0.6	0.24	6
12	0.44	0.85	0.73	7
10.5	0.43	0.58	0.25	6
9.5	0.51	0.73	0.18	6
13.134027	0.218456	0.888885	0.645347	10
10.5	0.41	0.57	0.14	6
9.6	0.42	0.63	0.57	5
9.4	0.765	0.55	0.22	5
11.5	0.76	0.68	0.29	6
9.6	0.5	0.44	0.49	5
9.5	0.35	0.58	0.21	5
11.9	0.2	0.8	0.35	7
10.3	0.53	0.83	0.06	6
10.3	0.66	0.63	0	5
9.3	0.69	0.6	0	5
11	0.56	0.52	0.08	5
11.7	0.53	0.56	0.49	6
10	0.615	0.73	0.66	7
9.8	0.69	0.67	0.04	5
12.032854	0.367865	0.790526	0.433821	8
11	0.37	0.58	0.65	5
9.5	0.61	0.59	0.14	5
10	0.705	0.72	0.12	5
9.4	0.39	0.49	0.12	5
9.4	0.54	0.61	0.24	5
11.6	0.69	0.74	0.31	6
13.105471	0.173406	0.80219	0.549348	10
13.521704	0.112053	0.920616	0.511458	10
11.662276	0.286023	0.721286	0.30207	8
13.887434	0.277045	0.848604	0.61786	10
10.5	0.51	0.54	0.09	5
9.2	0.575	0.51	0.22	5
9.4	0.4	0.55	0.49	5
11.5	0.5	0.72	0.42	6
9.8	0.57	0.54	0.21	6
9.5	0.67	0.71	0.55	6
13.727262	0.17667	0.842464	0.406041	9
9.3	0.665	0.73	0	5
11.1	0.72	0.72	0.09	6
9.7	0.59	0.53	0.02	6
9.4	0.66	0.56	0	5
11.764011	0.349205	0.67571	0.310443	8
9.3	0.57	0.57	0.23	5
10.7	0.51	0.93	0	6
11.5	0.53	0.74	0.66	7
10.5	0.4	0.77	0.32	7
9.8	0.6	0.53	0.25	5
9.968773	0.901735	0.408445	0.116273	3
8.464948	1.413479	0.354414	0.054539	1
10.5	0.43	0.71	0.42	5
9.4	0.82	0.53	0.29	5
10	0.885	0.46	0.2	5
10.9	0.38	0.71	0.56	6
9.6	0.66	0.54	0.15	5
10.9	0.725	0.39	0.05	5
9.834864	0.972283	0.492862	0.290746	4
10	0.25	0.9	0.49	6
11.3	0.37	0.73	0.32	7
9.6	0.5	0.72	0.18	6
10.8	0.6	0.6	0.14	6
10	0.53	0.56	0.04	6
10.7	0.46	0.49	0.14	5
