11.6	0.34	0.66	0.4	7
12.3	0.32	0.55	0.42	6
11.7	0.86	0.74	0.07	6
13.277373	0.341234	0.777524	0.402891	9
10.30768	1.056575	0.538459	0.110448	3
10.5	0.43	0.71	0.42	5
12.5	0.31	0.77	0.39	7
8.625998	1.014862	0.419185	0.147989	2
10.3	0.4	0.7	0.12	6
14.461342	0.277568	0.870089	0.690404	10
9.55	0.685	0.65	0.1	6
11.2	0.58	0.58	0.16	6
11.5	0.56	0.54	0	6
9.415227	1.577925	0.475593	0.057067	1
13	0.5	0.63	0.09	5
10.4	0.42	0.68	0.09	6
9.6	0.835	0.47	0.03	5
8.4	0.31	0.79	0.74	6
10.1	0.56	0.56	0.24	6
11.5	0.32	0.77	0.52	6
9.5	0.44	0.6	0.49	5
9.2	0.695	0.52	0	5
11.2	0.39	0.87	0.43	7
11.8	0.51	0.66	0.64	7
9.5	0.43	0.6	0.22	6
9.8	0.57	0.54	0.21	6
9.8	0.82	0.58	0.02	5
9.4	0.52	2	1	4
9.5	0.39	0.49	0.63	5
11	1.04	0.57	0.08	4
10.4	0.2	0.81	0.43	6
10.4	0.65	0.62	0.02	6
9.4	0.685	0.62	0.35	5
11.8	0.26	0.63	0.54	8
11.704898	0.355577	0.757371	0.474128	8
10.1	0.32	0.62	0.23	5
11.1	0.33	0.89	0.45	7
12.008462	0.287961	0.66094	0.321774	8
10.6	0.46	0.6	0.24	6
11.9	0.315	0.67	0.4	6
11.760307	0.202712	0.675367	0.317941	8
9.022322	1.523287	0.368729	0.014793	1
9.006	1.106653	0.371894	0.045403	1
12	0.27	1.13	0.53	7
12.2	0.48	0.62	0.04	7
9.381237	1.379944	0.425522	0.148128	2
9.1	0.725	0.55	0.22	5
8.372839	1.261976	0.313825	0.0316	1
10.55	0.56	0.68	0.17	7
9.7	0.62	0.53	0.06	5
9.5	0.51	0.73	0.18	6
13.218007	0.200431	0.948169	0.408126	9
10.5	0.51	0.54	0.02	6
9.4	0.745	0.66	0.56	5
10	0.54	0.61	0.28	6
10.8	0.5	0.77	0.36	6
10.1	0.29	0.67	0.49	6
11	0.24	0.9	0.47	7
10.6	0.27	0.72	0.6	6
10.7	0.59	0.58	0.01	6
11.6	0.55	0.82	0.15	6
9.9	0.735	0.53	0.02	5
9.9	0.49	1.95	0.28	6
11	0.6	0.54	0.08	5
10.433274	0.840839	0.530758	0.164721	4
14.372893	0.213784	0.96779	0.51698	10
9.8	0.64	0.66	0.21	5
11.3	0.18	0.93	0.4	5
9.7	0.27	0.7	0.41	5
10.9	0.49	0.78	0.36	6
9.5	0.53	0.57	0.24	5
9.4	0.38	0.56	0.36	5
9.055281	0.846614	0.518319	0.192935	3
10.033333	0.475	0.65	0.4	6
9.4	0.59	0.49	0.26	5
14	0.34	0.79	0	6
12.7	0.47	0.68	0.49	6
9.4	0.735	0.6	0	5
11.2	0.34	0.54	0.36	7
10.9	0.9	0.63	0	6
9.4	0.74	0.55	0.19	5
10.5	0.36	0.67	0.34	6
10	0.56	0.92	0.31	6
10.390449	1.140062	0.555248	0.200382	3
10.3	0.635	0.59	0.17	6
9.5	0.63	0.56	0.33	5
9.3	0.9	0.68	0.34	5
9.8	0.72	0.58	0	5
9.6	0.82	0.53	0	5
9.4	0.55	0.64	0	6
10.010293	0.851104	0.515388	0.157292	3
12.5	0.645	0.61	0	6
